Word,Count
trunk,3
toward,3
tourist,3
tools,3
tonight,3
tomorrow,3
thousands,3
though,3
things,3
tense,3
tender,3
telling,3
television,3
tea,3
talking,3
taken,3
surprised,3
sunday,3
story,3
stink,3
sticks,3
steaks,3
stay,3
station,3
start,3
sounds,3
sound,3
sort,3
socks,3
snow,3
smile,3
slides,3
skull,3
skinny,3
simple,3
silent,3
side,3
short,3
shook,3
shoes,3
sheet,3
sewing,3
serum,3
sent,3
runway,3
running,3
rose,3
romeo,3
riverhead,3
river,3
result,3
remember,3
remains,3
relief,3
reached,3
ran,3
rabbit,3
quit,3
quickly,3
questions,3
question,3
pull,3
provided,3
probably,3
probable,3
prefer,3
precinct,3
practical,3
powder,3
poured,3
pounds,3
possible,3
portions,3
planned,3
plan,3
pink,3
pictures,3
picture,3
photos,3
photo,3
patience,3
past,3
passengers,3
orange,3
opening,3
opened,3
onto,3
ones,3
none,3
newspapers,3
new,3
neighborhood,3
mutilated,3
moved,3
mister,3
miscolo,3
meal,3
march,3
mammalian,3
making,3
luxury,3
lover,3
lousy,3
looks,3
logical,3
leaving,3
leaned,3
killer,3
kicks,3
joint,3
isoreaction,3
isola,3
interrogation,3
information,3
indeed,3
impossible,3
immediately,3
hot,3
hobby,3
high,3
hello,3
hatchet,3
hardly,3
happen,3
guys,3
grinning,3
grinned,3
god,3
glanced,3
glad,3
giving,3
gives,3
gets,3
gas,3
funny,3
front,3
frame,3
forgive,3
force,3
folder,3
florists,3
fingertips,3
finger,3
final,3
file,3
figure,3
few,3
fat,3
family,3
familiar,3
experienced,3
expected,3
examined,3
everything,3
edge,3
dull,3
dried,3
dressed,3
distributed,3
dismembered,3
diameter,3
department,3
delicious,3
dealt,3
deal,3
days,3
cutting,3
cups,3
cup,3
cream,3
costume,3
corridor,3
corpse,3
cops,3
consider,3
coming,3
closer,3
cleaning,3
checked,3
cat,3
cart,3
canopy,3
butter,3
bureau,3
bring,3
break,3
bra,3
bottle,3
blocks,3
believe,3
begin,3
beach,3
bar,3
announcer,3
alive,3
airlines,3
airline,3
advertising,3
admitted,3
admit,3
accommodations,3
yourself,2
yet,2
wrapped,2
worry,2
works,2
wooden,2
wondered,2
woke,2
within,2
wiping,2
willowy,2
whose,2
whispered,2
whatever,2
weighed,2
wednesday,2
watching,2
warrant,2
warm,2
walking,2
walk,2
wait,2
vanished,2
unusual,2
uniform,2
ulna,2
ugliest,2
typing,2
twisted,2
twenty,2
twelve,2
tray,2
townsend,2
town,2
tissues,2
tip,2
tiny,2
tilted,2
thrust,2
throbbing,2
threw,2
thin,2
tenement,2
ten,2
teddy,2
team,2
tapped,2
takes,2
tag,2
swivel,2
sweet,2
surrounding,2
supposed,2
suppose,2
support,2
subcutaneous,2
stupid,2
stripper,2
stiffs,2
stick,2
stars,2
star,2
stage,2
spurt,2
spreading,2
spoke,2
spectroscopic,2
space,2
south,2
sourly,2
somehow,2
soaked,2
smoke,2
smiles,2
smaller,2
sloshing,2
slogan,2
slit,2
slightly,2
slight,2
skinglow,2
skillful,2
sixteen,2
sit,2
sighed,2
show,2
shot,2
shopping,2
sheets,2
sheepishly,2
shaved,2
shake,2
shafts,2
service,2
sense,2
seldom,2
seats,2
seat,2
search,2
seaman,2
scum,2
saying,2
saturday,2
sam,2
salvation,2
rushed,2
rush,2
richly,2
ribbons,2
resting,2
responsible,2
respect,2
redheaded,2
received,2
reassuring,2
real,2
reach,2
raise,2
races,2
quite,2
puddles,2
psssssss,2
proteins,2
prints,2
print,2
presented,2
pregnant,2
pouring,2
positive,2
portion,2
pop,2
politely,2
pneumonia,2
plus,2
player,2
pieces,2
piece,2
persisted,2
perpetrator,2
partially,2
parking,2
park,2
pants,2
pages,2
owned,2
overhead,2
otherwise,2
ordered,2
order,2
older,2
obviously,2
number,2
notes,2
nonetheless,2
nodding,2
nobody,2
night,2
nervous,2
need,2
necked,2
neatly,2
nap,2
n,2
muscular,2
mud,2
morgue,2
month,2
miserable,2
mine,2
microscope,2
mentioned,2
member,2
medullary,2
means,2
mayor,2
match,2
marrow,2
marijuana,2
mandel,2
magician,2
machines,2
lovely,2
loved,2
longer,2
lit,2
lips,2
line,2
liked,2
lighted,2
light,2
leonard,2
length,2
legs,2
least,2
leaped,2
leaning,2
law,2
later,2
lap,2
korea,2
knows,2
kiss,2
kids,2
jump,2
juicy,2
itself,2
itchy,2
involved,2
investigation,2
interrogated,2
international,2
instantly,2
innocence,2
inept,2
indecent,2
included,2
impressions,2
immediate,2
imaginative,2
identify,2
idea,2
iceman,2
hurriedly,2
hung,2
hours,2
horse,2
hoping,2
highway,2
hesitated,2
helpful,2
heavy,2
heavily,2
hat,2
hanging,2
handling,2
hall,2
habits,2
growing,2
grover,2
green,2
grains,2
grace,2
goes,2
gloves,2
girls,2
gently,2
gasser,2
gang,2
fusion,2
funeral,2
friends,2
friend,2
friday,2
fredericks,2
fourth,2
forward,2
fortunately,2
formed,2
form,2
forgot,2
forever,2
followed,2
florist,2
flatly,2
fires,2
fingerprints,2
fingerprint,2
filing,2
fight,2
fibers,2
fervently,2
fashion,2
faded,2
extremities,2
exposure,2
exposed,2
exotic,2
excuse,2
examining,2
examine,2
everyone,2
escape,2
error,2
entirely,2
entered,2
enjoy,2
ended,2
end,2
empty,2
eighteen,2
eating,2
eat,2
easy,2
easily,2
earth,2
earlier,2
during,2
dryly,2
drunkard,2
drumming,2
driver,2
drinks,2
drinking,2
drank,2
downtown,2
doubts,2
double,2
doors,2
dish,2
diner,2
difference,2
die,2
dick,2
dialed,2
determined,2
desire,2
designed,2
deserted,2
delivery,2
deep,2
decided,2
decide,2
daughter,2
dancer,2
damnit,2
damned,2
cruel,2
crap,2
covering,2
couldn,2
correct,2
corpses,2
contain,2
contact,2
constantly,2
conclusion,2
concluded,2
completely,2
company,2
command,2
comfort,2
colby,2
coat,2
closet,2
clock,2
clinging,2
climbing,2
clerical,2
clear,2
clean,2
choice,2
chills,2
chest,2
chemical,2
cheerful,2
checks,2
check,2
certain,2
careful,2
captain,2
calm,2
calculating,2
buy,2
busy,2
burst,2
bulls,2
bubs,2
brown,2
breasts,2
bone,2
boarded,2
blonde,2
blond,2
bleeding,2
blanket,2
blank,2
bit,2
biggest,2
besides,2
bermuda,2
beneath,2
belt,2
begins,2
bedroom,2
become,2
beautiful,2
beating,2
beat,2
beard,2
bawl,2
bastard,2
base,2
baby,2
attempt,2
attached,2
atop,2
assumption,2
arrived,2
arrive,2
arrested,2
arrangement,2
army,2
arms,2
arm,2
appearance,2
anywhere,2
answering,2
angular,2
anatomy,2
american,2
alongside,2
allowed,2
airport,2
ages,2
address,2
add,2
accurate,2
absolutely,2
absence,2
above,2
zooming,1
youth,1
yours,1
youngest,1
younger,1
young,1
yawned,1
wrote,1
write,1
wright,1
wrestler,1
wreck,1
wow,1
worst,1
wondering,1
wonderful,1
wished,1
wisecracks,1
wire,1
winter,1
windpipe,1
windows,1
windowpane,1
wiggling,1
wider,1
whistling,1
whistle,1
whereabouts,1
whenever,1
whatdid,1
weighs,1
weighing,1
weather,1
wears,1
ways,1
wave,1
watertight,1
watch,1
wasting,1
waste,1
wash,1
warn,1
warmth,1
warming,1
warehouse,1
wandering,1
wandered,1
wander,1
wallet,1
waited,1
wade,1
vote,1
vomit,1
visits,1
visit,1
violet,1
violent,1
violence,1
violation,1
view,1
venture,1
veins,1
veil,1
vary,1
value,1
valises,1
vaguely,1
vagrants,1
vagaries,1
usual,1
ushered,1
upset,1
upheaval,1
unzipped,1
unzip,1
unsuspecting,1
unrelenting,1
unmarked,1
unlikely,1
unless,1
unknown,1
unkempt,1
unfortunately,1
unfixed,1
undoubtedly,1
understandable,1
undecided,1
uncrossed,1
unceremoniously,1
uncapped,1
types,1
twin,1
turtle,1
tunelessly,1
tuesday,1
truthful,1
trunks,1
true,1
trouser,1
trouble,1
trot,1
trench,1
trembled,1
transmitted,1
translated,1
trains,1
training,1
trail,1
traffic,1
tradition,1
traces,1
towel,1
tough,1
touching,1
tool,1
tongue,1
together,1
toget,1
tobe,1
toast,1
title,1
tissue,1
tired,1
tips,1
tinkled,1
timed,1
tilting,1
tightly,1
tie,1
tickets,1
tic,1
thursday,1
throughout,1
throat,1
thrift,1
thousandths,1
thousand,1
thoughtfully,1
thorough,1
third,1
thinner,1
thinks,1
thieves,1
thick,1
theywere,1
therefore,1
thepeople,1
themselves,1
themot,1
theliving,1
thejunk,1
thefercockteh,1
thatkarl,1
thanking,1
tests,1
terror,1
terrifying,1
terms,1
terminate,1
technician,1
technically,1
teasingly,1
tattooed,1
taste,1
tailoring,1
tagged,1
sympathy,1
swore,1
switch,1
swept,1
sweeping,1
sweaters,1
swear,1
swapping,1
swallowed,1
svelte,1
sustenance,1
suspiciously,1
suspicious,1
suspects,1
suspect,1
susceptible,1
surveyed,1
surprising,1
surprise,1
surgery,1
surgeon,1
supreme,1
sun,1
summons,1
sullivan,1
sulked,1
suffered,1
sudden,1
subway,1
subtracted,1
subtle,1
sublimate,1
stunted,1
stumps,1
stumbled,1
stuff,1
struck,1
strongest,1
strong,1
strolled,1
strictest,1
stretched,1
stretch,1
streaming,1
stream,1
straws,1
straw,1
straps,1
strangely,1
strange,1
straight,1
stores,1
stops,1
stopping,1
stooped,1
stomach,1
stockings,1
stocking,1
stitches,1
stirring,1
stiff,1
sticky,1
stickup,1
stickball,1
stereotype,1
stepping,1
stepped,1
stenciled,1
steel,1
steam,1
steady,1
staying,1
stats,1
startled,1
startingtonight,1
stank,1
stammers,1
stains,1
staining,1
stained,1
staff,1
stack,1
squirming,1
squinting,1
squeezed,1
squarely,1
squadron,1
spot,1
spoonfuls,1
splintering,1
spirit,1
spill,1
spikes,1
spend,1
speeding,1
spectacle,1
specimens,1
specific,1
species,1
special,1
speak,1
spattered,1
southern,1
sour,1
sounded,1
soul,1
sorry,1
soon,1
sometime,1
someplace,1
somebody,1
solution,1
sole,1
softness,1
sofa,1
soaking,1
snowing,1
snapshots,1
snapped,1
smoothly,1
smock,1
smiled,1
smells,1
smelled,1
smeared,1
smear,1
smashed,1
slowly,1
sloshed,1
slob,1
slithered,1
slippers,1
slid,1
slick,1
sliced,1
sleeping,1
sledgehammer,1
slatted,1
slashes,1
slapped,1
slanted,1
skyscraper,1
sky,1
skirts,1
skirt,1
skipper,1
size,1
sixfour,1
siren,1
sipped,1
sinking,1
sink,1
single,1
sin,1
simplicity,1
similarly,1
similarity,1
sill,1
sickroom,1
shuffle,1
shudder,1
shown,1
showed,1
shoved,1
shout,1
shouldn,1
shoulder,1
shortly,1
shopworn,1
shocked,1
shock,1
shipped,1
shining,1
shield,1
shape,1
shame,1
shall,1
shaggy,1
shadow,1
sexual,1
sewers,1
seventeen,1
serve,1
sequins,1
sequence,1
september,1
separation,1
separated,1
separate,1
sensation,1
sending,1
send,1
selling,1
seized,1
segment,1
seeps,1
seeping,1
seenon,1
seeking,1
sedan,1
secure,1
seating,1
season,1
seared,1
searched,1
seal,1
sea,1
script,1
scratched,1
scraping,1
scraggly,1
scouring,1
scimitar,1
scientific,1
schoolgirl,1
scalpel,1
savoring,1
saved,1
saucers,1
satisfied,1
santa,1
sandwiches,1
samuel,1
sampling,1
samaritan,1
saluted,1
salt,1
sake,1
safety,1
runny,1
rumpled,1
rummaging,1
rugged,1
ruefully,1
rubbish,1
rubbing,1
rubber,1
rowboat,1
route,1
rough,1
rope,1
rookie,1
rode,1
rod,1
rocks,1
roast,1
roar,1
roamed,1
rivers,1
rising,1
rip,1
rinsed,1
rigidity,1
rights,1
rightfully,1
riddance,1
rid,1
rick,1
rewarded,1
revulsion,1
revolver,1
revenge,1
retype,1
returned,1
retain,1
resulting,1
restricted,1
rested,1
restaurant,1
rest,1
resented,1
resembling,1
reply,1
renewing,1
remote,1
remnants,1
reminiscences,1
reminding,1
reminded,1
remembering,1
remarkable,1
remainder,1
relieved,1
relied,1
reel,1
reddish,1
records,1
recklessly,1
recently,1
receiver,1
receipt,1
recapped,1
reasons,1
realize,1
reading,1
react,1
raw,1
rats,1
rarely,1
rare,1
rapidly,1
rape,1
rap,1
rank,1
ranged,1
ramp,1
rainy,1
rains,1
rained,1
railing,1
radiator,1
quilted,1
quick,1
qualified,1
puzzlement,1
puzzled,1
pushed,1
purse,1
purposely,1
purpose,1
pure,1
pulling,1
puked,1
public,1
psychotic,1
proximal,1
provide,1
proudly,1
proud,1
protrusion,1
protestant,1
prostitution,1
prompted,1
promotion,1
proffered,1
process,1
proceeded,1
procedure,1
private,1
pretense,1
presumably,1
present,1
presence,1
preparation,1
predicted,1
precincts,1
practicing,1
pow,1
pouting,1
pouted,1
pour,1
pounding,1
pound,1
pot,1
post,1
possibles,1
possibilities,1
possession,1
possessed,1
positively,1
portable,1
pore,1
population,1
popping,1
popped,1
polluted,1
policeman,1
poison,1
pointing,1
pointed,1
point,1
pockets,1
plunked,1
pleasure,1
played,1
plastered,1
planning,1
planes,1
placed,1
placard,1
pistol,1
pirates,1
pipperoo,1
pinned,1
pineapples,1
pimp,1
piggy,1
pier,1
pick,1
physiologic,1
physicist,1
phyllis,1
photostated,1
photographer,1
photographed,1
phone,1
phenomenon,1
phalanx,1
pet,1
personally,1
perking,1
period,1
performing,1
performer,1
performed,1
perform,1
perfidia,1
perennial,1
percent,1
per,1
pen,1
peek,1
peddle,1
peculiarly,1
pearson,1
peak,1
peace,1
paying,1
pausing,1
paul,1
pathetic,1
pate,1
pasture,1
pastime,1
passover,1
passing,1
parts,1
particular,1
particles,1
parked,1
paramour,1
parallel,1
paper,1
pantomime,1
panties,1
panes,1
panel,1
pallor,1
pain,1
paid,1
padded,1
pad,1
packed,1
overzealous,1
overlooking,1
overheard,1
overextended,1
overexposed,1
outfit,1
ounces,1
ought,1
ossification,1
os,1
orthodox,1
originally,1
origin,1
oriental,1
organs,1
ordinary,1
ordinarily,1
opinion,1
operate,1
oozed,1
ooze,1
onehorse,1
oldfashioned,1
ofvogue,1
officers,1
offers,1
oddly,1
ocean,1
occupations,1
occupation,1
occasions,1
observing,1
obnoxious,1
object,1
obey,1
nuts,1
nuclear,1
nowhite,1
novelists,1
note,1
nota,1
noses,1
nose,1
north,1
nor,1
nonabsorbent,1
nominations,1
nomenclature,1
nineteen,1
nine,1
nickel,1
nicked,1
newspaper,1
net,1
nerve,1
neon,1
nelson,1
neighborhoods,1
neglected,1
needs,1
needed,1
neanderthal,1
nature,1
narrowly,1
narrow,1
naming,1
names,1
naked,1
myraincoat,1
muttered,1
mustache,1
musical,1
mused,1
musculature,1
muscle,1
murmured,1
murderer,1
mumbo,1
multangulum,1
mug,1
mpb,1
move,1
mounting,1
motion,1
mother,1
mostly,1
moreover,1
mootah,1
monthly,1
monotony,1
monochromatic,1
moments,1
momentarily,1
molded,1
models,1
mixed,1
mistake,1
miss,1
minor,1
minister,1
minimum,1
mingled,1
miller,1
miles,1
mild,1
midwife,1
midget,1
micrometer,1
mewed,1
methods,1
methodically,1
metallic,1
metacarpal,1
merchant,1
menu,1
members,1
melon,1
measuring,1
measurement,1
meantime,1
meanderings,1
mccarthy,1
mcbain,1
maximum,1
maul,1
mature,1
matters,1
matinee,1
mathematical,1
masseuse,1
mass,1
mark,1
margaret,1
marauding,1
manner,1
manila,1
managed,1
males,1
makeup,1
majus,1
magnum,1
magnifying,1
maggie,1
magazine,1
madman,1
madly,1
mackinaw,1
machinations,1
lying,1
lunch,1
lucky,1
luck,1
loud,1
loss,1
lose,1
lonely,1
locker,1
lock,1
llhave,1
lives,1
lived,1
live,1
listening,1
listened,1
liquid,1
liquefied,1
lipsticked,1
lipstick,1
lincoln,1
limbs,1
likelihood,1
lights,1
lightning,1
lighter,1
licked,1
library,1
lewis,1
levels,1
level,1
letting,1
letters,1
lettering,1
legit,1
led,1
leather,1
leaping,1
leap,1
lean,1
laymen,1
lay,1
lawyer,1
laughing,1
laugh,1
latent,1
late,1
lassitude,1
lashing,1
landlady,1
lamppost,1
ladies,1
lacing,1
lacerated,1
labeled,1
kosher,1
knot,1
knocked,1
knife,1
knack,1
kitty,1
kisser,1
king,1
kill,1
kidding,1
kansas,1
juste,1
junk,1
junior,1
jumbo,1
juggle,1
judaism,1
jotting,1
jotted,1
joker,1
jewishness,1
jew,1
jesters,1
jersey,1
january,1
jammed,1
jam,1
item,1
itabout,1
issued,1
ipso,1
inward,1
involvement,1
invariably,1
intruded,1
interested,1
intently,1
intelligent,1
instant,1
innocently,1
inner,1
injected,1
inject,1
individual,1
indicated,1
including,1
impression,1
imply,1
impervious,1
impersonal,1
impatiently,1
immature,1
image,1
illegal,1
ilike,1
idly,1
identity,1
ideas,1
hydrants,1
hurried,1
hungry,1
hundredth,1
hundred,1
humerus,1
humans,1
huddled,1
however,1
houses,1
housed,1
hospital,1
horsemen,1
hopping,1
hopped,1
hood,1
holster,1
hollywood,1
holes,1
hole,1
hilarious,1
hiding,1
hide,1
hid,1
hi,1
hesitation,1
heroin,1
heroes,1
hennaed,1
helped,1
help,1
held,1
heis,1
hefty,1
hearty,1
haystack,1
haveyou,1
hatless,1
hate,1
hard,1
harb,1
happily,1
happens,1
haphazard,1
handle,1
handed,1
ham,1
halted,1
halo,1
hallway,1
hailed,1
hadn,1
hacking,1
hack,1
habit,1
gutters,1
gusto,1
gunplay,1
gunning,1
guests,1
gruesome,1
grubby,1
gripped,1
grilled,1
grill,1
greeted,1
gray,1
gratitude,1
granting,1
grab,1
government,1
gosh,1
gory,1
gorgeous,1
goodbye,1
glow,1
glossy,1
glory,1
gloom,1
globe,1
glenn,1
gleam,1
glassful,1
glasses,1
glamour,1
glamorous,1
gingerly,1
gilda,1
giant,1
gentlemen,1
gentile,1
general,1
gaze,1
gate,1
gat,1
gases,1
garments,1
garbage,1
gaping,1
gangster,1
games,1
furry,1
fun,1
fumed,1
fullback,1
full,1
fruits,1
frisked,1
fringe,1
fretted,1
freeman,1
free,1
frederick,1
fraternal,1
frank,1
framed,1
fourteenth,1
four,1
fountain,1
fortunate,1
forthright,1
formula,1
forming,1
formidable,1
formation,1
forgetting,1
forehead,1
forefinger,1
forecasters,1
forced,1
football,1
foot,1
fools,1
follow,1
folders,1
fob,1
flying,1
flipped,1
fled,1
flat,1
flaming,1
flame,1
fist,1
finished,1
finest,1
finding,1
finally,1
finality,1
filling,1
fill,1
figured,1
fifteen,1
fields,1
field,1
fiancée,1
fewtailors,1
femur,1
femininity,1
fear,1
fe,1
favor,1
farmer,1
fairly,1
fair,1
fail,1
facts,1
facto,1
eyepiece,1
eyelashes,1
eyeglasses,1
eyed,1
expression,1
explosion,1
explodes,1
expert,1
experience,1
expensive,1
expecting,1
expectation,1
executive,1
except,1
example,1
exaggerated,1
eventually,1
eventuality,1
events,1
event,1
evenopen,1
euphemistically,1
estimating,1
estimated,1
esoteric,1
erythrocyte,1
errors,1
epiphysial,1
epidermis,1
envelope,1
entirety,1
enthusiastically,1
entertainment,1
english,1
england,1
engine,1
ends,1
endowed,1
en,1
emotional,1
embedded,1
embarrassed,1
elbow,1
elasticity,1
elastic,1
eighty,1
effort,1
effectively,1
effect,1
education,1
ed,1
economy,1
ease,1
dynamite,1
duty,1
dumped,1
dug,1
duffel,1
due,1
duck,1
dry,1
drunkards,1
drunk,1
drowned,1
drown,1
dropped,1
dripping,1
dripped,1
drinker,1
drilling,1
drew,1
dresses,1
dress,1
drenched,1
dreary,1
draped,1
dragged,1
dr,1
downward,1
doubting,1
doubt,1
doorways,1
doorway,1
dominating,1
doll,1
dolefully,1
doctorate,1
doctor,1
dizzy,1
dix,1
division,1
diversified,1
ditto,1
distilled,1
disposal,1
display,1
dispatch,1
dismemberment,1
dishes,1
discuss,1
discs,1
discovery,1
discovering,1
discovered,1
discount,1
discoloration,1
discernible,1
disappearances,1
dirtiest,1
directly,1
dip,1
dinners,1
diminutive,1
digging,1
differently,1
died,1
didyou,1
dickie,1
diarrhea,1
diapers,1
devious,1
development,1
developing,1
develop,1
devastating,1
determining,1
detavoner,1
destroyed,1
despair,1
described,1
describe,1
dermis,1
deprive,1
depending,1
deliver,1
delighted,1
delicate,1
degree,1
definitely,1
definite,1
defensive,1
deduct,1
decreed,1
decrease,1
decomposition,1
decomposed,1
decline,1
deathis,1
dealing,1
darkroom,1
dangerously,1
dancing,1
dairy,1
dainty,1
cuts,1
curtains,1
curtain,1
current,1
curling,1
curled,1
curiously,1
cupped,1
culver,1
cuddly,1
crossed,1
croaked,1
criteria,1
criminals,1
criminal,1
creepy,1
creatures,1
crazy,1
crawled,1
crawl,1
crashed,1
cracked,1
crack,1
coverslip,1
cover,1
coupled,1
couple,1
counts,1
counting,1
cotton,1
cot,1
cossack,1
cosmetic,1
corrupting,1
correctly,1
corpuscle,1
copon,1
coolly,1
conveyance,1
control,1
continuous,1
continue,1
contaminated,1
containers,1
container,1
contacted,1
consulted,1
construction,1
consoling,1
considered,1
considerable,1
conservative,1
conscious,1
conscientious,1
connotes,1
congregational,1
congregation,1
confused,1
confuse,1
conducted,1
concerned,1
conceive,1
conceivably,1
comparison,1
compared,1
commercial,1
comic,1
comes,1
comedy,1
comedian,1
collected,1
collar,1
coldly,1
coffeepot,1
cockeyed,1
cobblestones,1
clung,1
clue,1
clubs,1
clouds,1
closest,1
clipping,1
clipped,1
climbed,1
clearly,1
cleared,1
cleaners,1
clanging,1
clammy,1
citizen,1
circulation,1
chuckled,1
christ,1
choke,1
chipped,1
chilling,1
child,1
chewed,1
cheekbones,1
chatter,1
